name,studentId,major,email,nationality,homeLand,score,gender
Min-jun Martin,S633548,Theater&Drama,sales_eclipse@yahoo.com,Ecuador,2,78,0
Li Rossi,S521789,GenderStudies,service_luminary@zoho.com,Fiji,1,60,1
Hana Williams,S254990,UX/UIDesign,service_ironclad@msn.com,Ghana,2,90,0
Skyler Kuznetsov,S160584,Medicine(Pre-Med),eclipse.designs@protonmail.com,Denmark,1,17,1
Avery Kimura,S111513,Economics,media_nexa@protonmail.com,Bhutan,1,37,1
Hana Jansen,S378155,ClimateScience,info_stellar@zoho.com,Estonia,1,85,0
Charlotte Anderson,S727645,Archaeology,contact_nexa@yandex.com,Cyprus,2,60,1
William Khan,S304495,Law(Pre-Law),admin_fluxion@hotmail.com,Eritrea,0,64,0
Eero Bianchi,S57891,EnvironmentalScience&Sustainability,hello_flux@live.com,Cuba,1,83,0
Tariq Sánchez,S522038,Marketing,feedback_eclipse@me.com,Cameroon,0,36,0
Tariq Nielsen,S851647,PoliticalScience,feedback_terra@msn.com,Georgia,0,49,0
Sophia Reyes,S96663,RenewableEnergyEngineering,helpdesk_echelon@yahoo.com,Finland,2,85,1
Gang Jain,S653565,Biotechnology,info_crimson@zoho.com,Bulgaria,1,32,1
Layla Xu,S988154,Economics,contact_nexa@yandex.com,Cuba,1,38,1
Yui Nikolaidis,S6421,UrbanPlanning,help_zenith@outlook.com,Guinea,0,63,0
Aaron Diallo,S270317,DigitalMarketing,feedback_terra@me.com,Greece,0,90,0
Vikram Morales,S257133,Linguistics,query.nexorium@zoho.com,Ethiopia,0,55,1
Aoi Zhao,S253954,EnvironmentalScience&Sustainability,hello_flux@live.com,Djibouti,2,84,0
Dewi Diop,S282878,CreativeWriting,help_eclipse@outlook.com,Ecuador,2,79,0
Rhys VanDijk,S69115,RealEstateManagement,service_stellar@msn.com,Canada,1,46,1
Hassan Sánchez,S583437,PublicHealth,t.zhang_services@me.com,Djibouti,2,20,0
Aino Cohen,S72963,IndustrialDesign,sales_aurora@yahoo.com,ElSalvador,1,73,0
Meera Al-Farsi,S844099,SportsManagement,service_stellar@msn.com,France,0,95,1
Sam Xu,S628974,Sociology,contact_vivid@yandex.com,CaboVerde,1,49,1
Mei VanDijk,S134200,CreativeWriting,admin_zenith@hotmail.com,Chad,0,79,1
Riko Kumar,S839989,SupplyChainManagement,sales_titan@yahoo.com,Cameroon,0,42,0
Nao Kim,S419476,Criminology,hello_zenith@live.com,DominicanRepublic,1,57,1
Oksana Ivanov,S840384,Film&MediaStudies,bluehorizon_01@live.com,Cameroon,0,72,1
Karan Kumar,S480369,Biology,tech_eclipse@icloud.com,Ecuador,2,10,0
Soraya Pham,S922182,FashionDesign,support_nexa@aol.com,Eritrea,0,72,0
Pooja Liu,S439700,Architecture,hello_zenith@live.com,Fiji,1,69,0
Michael Kato,S547708,FashionDesign,info_summitaegis@aol.com,Cuba,1,73,1
Miriam Gupta,S9394,Animation&DigitalArts,admin_zenith@hotmail.com,Haiti,0,79,0
Anna Çelik,S751012,FashionDesign,tech_eclipse@icloud.com,Germany,1,72,1
Siobhan Rashid,S946139,Photography,hello_embercore@live.com,Canada,1,82,1
Matthew Dang,S565394,Psychology,contact_pulsewave@yandex.com,Chile,1,47,1
Hala Reyes,S996034,RealEstateManagement,media_nexa@protonmail.com,Chile,1,47,0
Hui Larsen,S438326,Anthropology,help_eclipse@outlook.com,Iceland,0,51,1
Reza Hu,S170499,Statistics,media_crimson@protonmail.com,Chad,0,14,1
Mei Miller,S268174,Photography,contact_apexion@outlook.com,Congo(DemocraticRepublic),2,82,0
Andrew Andersen,S96581,Finance,feedback_quantum@me.com,Congo(Republic),0,35,1
Kai Al-Mohammed,S934540,Architecture,vividra.contact@outlook.com,Chad,0,69,0
Alistair Chen,S367442,InternationalRelations,sales_eclipse@yahoo.com,China,2,56,1
Aino González,S935705,Geology,media_pyrexia@protonmail.com,Ecuador,2,12,0
Kavita Russo,S796089,HumanResourcesManagement,techquery2023@gmail.com,Congo(Republic),0,44,0
Sora Nakamura,S405997,GenderStudies,tech_eclipse@icloud.com,Comoros,1,60,0
Emre Miller,S386271,ActuarialScience,contact_nexa@yandex.com,Congo(Republic),0,46,1
Abigail Thomas,S321343,Biotechnology,support_frostvale@live.com,Cyprus,2,32,0
Maria Le,S902951,EnvironmentalScience&Sustainability,sales_eclipse@yahoo.com,Gambia,2,84,0
Carlos Thomas,S651547,ClimateScience,bluehorizon_01@live.com,Eritrea,0,85,0
Katarzyna Sethi,S274753,GameDesign,contact_apexion@outlook.com,EquatorialGuinea,2,81,1
Li Jung,S749298,History,sales_quantum@yahoo.com,BurkinaFaso,2,53,1
Sean Sethi,S16534,CreativeWriting,contact_zenithpulse@live.com,Cuba,1,78,1
Raj Herrera,S566166,Hospitality&TourismManagement,luna.waves23@gmx.com,DominicanRepublic,1,42,1
Phoenix Çelik,S741408,Law(Pre-Law),admin_nexa@hotmail.com,Chile,1,64,1
Ping Zhu,S274420,OccupationalTherapy,feedback_obsidian@me.com,Burundi,0,30,1
Eero Hansen,S502319,GenderStudies,sales_nexus@yahoo.com,Brunei,0,59,1
Andrew Diop,S204399,Linguistics,support_voltex@aol.com,Benin,0,55,0
Noura Martin,S186364,Geography,media_pyrexia@protonmail.com,Bolivia,2,62,0
João Cruz,S990662,Architecture,admin_cobaltreach@zoho.com,EquatorialGuinea,2,70,0
Tariq Mahmoud,S981573,GraphicDesign,media_flux@protonmail.com,Eswatini,2,68,0
Piotr Inoue,S142303,History,support_nexorium@aol.com,Congo(DemocraticRepublic),2,53,1
Quinn Kumar,S986269,InteriorDesign,admin_aurora@hotmail.com,Croatia,0,75,1
Farid Rao,S288052,SocialWork,support_voltex@aol.com,Chad,0,59,1
Riley Suzuki,S695749,Neuroscience,feedback_stellar@me.com,Georgia,0,11,1
Alex Yilmaz,S737309,Philosophy,moonlightstudio@protonmail.com,Guinea-Bissau,1,53,0
Anna Jain,S634726,Nutrition&Dietetics,hello_zenith@live.com,Chad,0,24,1
Katarzyna Reddy,S729408,ActuarialScience,service_stellar@msn.com,Benin,0,45,1
Ahmed Abbas,S800098,Physiotherapy,contact_eclipse@yandex.com,Congo(Republic),0,29,1
Rania Kuznetsov,S979699,GraphicDesign,admin_zenith@hotmail.com,Cyprus,2,68,0
Chidi García,S964955,Dentistry(Pre-Dental),info_silverhawk@zoho.com,Congo(Republic),0,22,0
Nadia Al-Khalifa,S128116,Architecture,support_stellar@aol.com,Brunei,0,70,0
Zara Toure,S862821,Nutrition&Dietetics,info_flux@zoho.com,EquatorialGuinea,2,24,1
Nadia Demir,S280744,BusinessAdministration,tech_nexa@icloud.com,Congo(DemocraticRepublic),2,33,1
Giulia Andersen,S579071,History,support_zenith@aol.com,Chad,0,52,1
Mei VanDijk,S382255,Education(Primary/Secondary),admin_vexelon@hotmail.com,Guatemala,2,66,0
Kai Chen,S884497,Epidemiology,contact_stellar@yandex.com,Brunei,0,28,0
James Sun,S44708,Epidemiology,admin_cobaltreach@zoho.com,Eritrea,0,28,0
Kwame Cohen,S935790,InteriorDesign,vividra.contact@outlook.com,Croatia,0,75,1
Léa Dimitriou,S499288,History,admin_stellar@hotmail.com,Djibouti,2,52,0
Samir Bello,S634404,Economics,bluehorizon_01@live.com,China,2,38,0
David García,S825134,History,j.smith_45@yahoo.com,Burundi,0,52,1
Aisha Mensah,S54971,Biology,info_zenith@zoho.com,Ghana,2,10,0
Chidi Wang,S859995,ForensicScience,silverhawk_sales@aol.com,EquatorialGuinea,2,93,0
Priya Wu,S918381,FineArts,media_quantum@protonmail.com,Denmark,1,71,0
Hala Taylor,S409322,VeterinaryScience,contact_apexion@outlook.com,Finland,2,23,1
Parisa Sharma,S288790,Meteorology,media_quantum@protonmail.com,Cyprus,2,12,1
Skyler Li,S990998,UrbanPlanning,admin_fluxion@hotmail.com,Cyprus,2,63,1
Jun VanDijk,S1575,Biotechnology,feedback_obsidian@me.com,Egypt,0,31,0
Aarav Brown,S5041,Nursing,service_quantum@msn.com,Chad,0,18,0
Skyler Katz,S289670,Archaeology,eclipse.designs@protonmail.com,France,0,61,0
Sam Reyes,S430584,History,contact_quantum@yandex.com,CaboVerde,1,53,0
Lan Saleh,S803804,Nanotechnology,sales_nimbus@yahoo.com,ElSalvador,1,15,0
Meera Levy,S335707,Linguistics,service_phoenix@aol.com,Ethiopia,0,55,1
Sora Mensah,S589346,Archaeology,bluehorizon_01@live.com,Czechia,0,61,1
Emma Zhao,S779473,Genetics,helpdesk_echelon@yahoo.com,Djibouti,2,28,0
Chidi Jansen,S155671,SocialWork,admin_stellar@hotmail.com,Ghana,2,58,0
Priya Khalid,S737294,FashionDesign,info_zenith@zoho.com,Botswana,1,72,0
Avery Nakamura,S377826,Philosophy,media_flux@protonmail.com,BosniaandHerzegovina,0,53,0
Feng Thomas,S854970,Meteorology,help_nexus@outlook.com,Gabon,1,12,0
Maximilian Abbas,S283080,Archaeology,hello_zenith@live.com,Guyana,2,60,1
Vikram Ma,S942899,Dentistry(Pre-Dental),jameson.tech@outlook.com,Chad,0,21,1
Sofia Yamada,S82919,Accounting,media_nexa@protonmail.com,Egypt,0,35,1
Sean Desai,S390638,Genetics,sales_nimbus@yahoo.com,Djibouti,2,27,0
Charlotte Visser,S448270,Law(Pre-Law),support_quantum@aol.com,Ecuador,2,65,0
Raj Zhao,S271087,Hospitality&TourismManagement,support_solstice@me.com,Cameroon,0,43,0
Léa Reddy,S894858,SupplyChainManagement,admin_pulse@hotmail.com,Cuba,1,42,1
Soren Kim,S35987,RealEstateManagement,media_pyrexia@protonmail.com,Brazil,2,47,1
Aino Ortiz,S211301,Psychology,luna.waves23@gmx.com,China,2,48,0
Taylor Patel,S183470,Meteorology,support_nexorium@aol.com,Cyprus,2,13,0
Alex Huang,S268551,PoliticalScience,silverhawk_sales@aol.com,Germany,1,50,1
Ali Wu,S56969,Medicine(Pre-Med),support_frostvale@live.com,Estonia,1,16,1
Sarah Russo,S895646,Kinesiology,novaflux.support@outlook.com,Brunei,0,24,1
Soraya Thomas,S430251,Architecture,t.zhang_services@me.com,Finland,2,69,1
Sam Watanabe,S316682,Criminology,novaflux.support@outlook.com,Dominica,0,57,1
Alex Al-Khalifa,S898446,DisasterManagement,tech_cerulean@icloud.com,Greece,0,94,0
Misha Kaya,S237715,Law(Pre-Law),contact_apexion@outlook.com,Greece,0,64,1
Malik Ferrari,S292193,Genetics,hello_flux@live.com,Cambodia,2,27,0
Ibrahim Nielsen,S379620,GlobalHealth,info_stellar@zoho.com,Djibouti,2,88,1
Vikram Wong,S58586,History,help_nexus@outlook.com,Colombia,0,53,1
Jing Levy,S639972,Nursing,tech_nexus@icloud.com,Cameroon,0,17,0
Rhys Gutierrez,S92965,VeterinaryScience,feedback_aurora@me.com,Ecuador,2,22,1
Haruto Agarwal,S12582,GraphicDesign,contact_nexa@yandex.com,EquatorialGuinea,2,67,1
Sofia Wang,S486077,InteriorDesign,query_aurora@yandex.com,Chad,0,75,1
Fatima Al-Farsi,S876222,Archaeology,media_quantum@protonmail.com,Denmark,1,61,1
Daniel Rao,S657688,OccupationalTherapy,admin_aurora@hotmail.com,Bulgaria,1,31,0
Asha Ibrahim,S936065,Archaeology,admin_vexelon@hotmail.com,Eswatini,2,60,1
Daiki Khalid,S534289,GenderStudies,sales_quantum@yahoo.com,Benin,0,59,0
Yusuf Smith,S688330,HumanResourcesManagement,service_iron@msn.com,Cameroon,0,44,1
Tariq Schneider,S329576,Nutrition&Dietetics,help_nexus@outlook.com,Djibouti,2,24,0
Eero Levy,S44347,DigitalMarketing,service_stellar@msn.com,Haiti,0,89,0
Aditya Diop,S231558,Physiotherapy,sales_flux@yahoo.com,Grenada,1,29,0
Aarav Li,S135783,SportsManagement,tech_pinnacle@yahoo.com,Cuba,1,96,1
Xin Williams,S419726,Linguistics,info_flux@zoho.com,CaboVerde,1,54,1
Yui Petrov,S470659,MusicPerformance/Theory,sales_lumivault@yahoo.com,Gabon,1,76,0
Nikolai Wu,S757006,InteriorDesign,zephyron.help@icloud.com,Egypt,0,75,0
Daiki Kimura,S280197,Medicine(Pre-Med),info_aurora@zoho.com,Fiji,1,16,0
Gábor Wang,S59782,FashionDesign,feedback_catalyst@msn.com,Côted'Ivoire,2,73,1
Dewi Watanabe,S718472,Geography,info_silverhawk@zoho.com,Cuba,1,62,0
Tariq Zhao,S433624,Archaeology,stellarsky2024@msn.com,Georgia,0,61,1
Zara Clark,S885995,Linguistics,support_quantum@aol.com,China,2,55,1
Idris Agarwal,S345039,RealEstateManagement,service_nexus@msn.com,Bhutan,1,46,0
Budi Herrera,S477224,Sociology,feedback_zenith@me.com,Ghana,2,49,0
Mio Nakamura,S150957,Physiotherapy,service_phoenix@aol.com,Ethiopia,0,30,1
Pooja Matsumoto,S968729,PoliticalScience,silverhawk_sales@aol.com,Bulgaria,1,50,1
Nikolai Ramos,S67257,Philosophy,info_nexasphere@protonmail.com,Bhutan,1,54,0
Ravi Kaya,S918000,EthicalAI&Policy,feedback_terra@msn.com,Ethiopia,0,87,0
Isaac Hassan,S341707,History,support_voltex@aol.com,Guatemala,2,52,0
Eero Nikolaidis,S320371,GraphicDesign,media_flux@protonmail.com,Côted'Ivoire,2,68,0
Layla Taylor,S206263,PoliticalScience,info_flux@zoho.com,China,2,50,0
Yasin Russo,S891013,Criminology,silverhawk_sales@aol.com,CaboVerde,1,57,1
Li Sato,S645858,Linguistics,tech_nexa@icloud.com,DominicanRepublic,1,54,1
Christopher Liu,S105274,MusicPerformance/Theory,service_luminary@zoho.com,Egypt,0,76,0
Wei Choi,S901674,IndustrialDesign,hello_infinitum@me.com,France,0,74,0
Siobhan Clark,S118011,RenewableEnergyEngineering,sales_lumivault@yahoo.com,ElSalvador,1,86,0
Phoenix Tran,S860504,Kinesiology,feedback_terra@msn.com,Eswatini,2,24,0
Tariq Rashid,S6210,Theater&Drama,info_summitaegis@aol.com,Iceland,0,78,0
Dmitri Johnson,S325157,Education(Primary/Secondary),info_nexasphere@protonmail.com,DominicanRepublic,1,66,1
Reza Pérez,S643761,SocialWork,service_luminary@zoho.com,Belarus,0,59,1
River Young,S778689,Biotechnology,support_quantum@aol.com,Comoros,1,32,1
Yuna González,S415572,UX/UIDesign,luna.waves23@gmx.com,Greece,0,91,0
Rong Miller,S7263,SocialWork,help_nexus@outlook.com,CaboVerde,1,58,0
Isaac Rossi,S925121,EnvironmentalScience&Sustainability,support_solstice@me.com,Grenada,1,84,0
Aditya Romano,S363086,Nutrition&Dietetics,support_quantumcore@icloud.com,Eswatini,2,23,0
Phoenix Wagner,S321386,UrbanPlanning,tech_stellar@icloud.com,Greece,0,63,1
Ryota González,S775081,EnvironmentalScience&Sustainability,service_quantum@msn.com,EquatorialGuinea,2,84,0
Zahara Nielsen,S200658,Philosophy,support_quantum@aol.com,Cuba,1,54,1
Robin Larsen,S635074,Law(Pre-Law),contact_aurora@yandex.com,Eritrea,0,64,0
Daniel Kuznetsov,S569012,Sociology,help_nebulaforge@outlook.com,Chile,1,49,1
Casey Dimitriou,S159191,History,feedback_zenith@me.com,Guinea,0,53,1
Aaron Agarwal,S807798,Archaeology,tech_nexus@icloud.com,China,2,60,1
Finley Thomas,S652445,Law(Pre-Law),hello_zenith@live.com,Botswana,1,64,0
Min-jun Yilmaz,S796430,Medicine(Pre-Med),media_eclipse@protonmail.com,Cuba,1,17,0
Aarav Miller,S354427,Geography,support_quantum@aol.com,Eritrea,0,62,0
Rong Rosenberg,S546686,GenderStudies,service_zephyr@msn.com,CentralAfricanRepublic,2,59,0
Sarah Nikolaidis,S226555,HumanResourcesManagement,feedback_eclipse@me.com,CaboVerde,1,43,0
Christopher Khalid,S569376,Medicine(Pre-Med),media_eclipse@protonmail.com,Finland,2,17,1
Mei Yilmaz,S660686,Archaeology,support_voltex@aol.com,Finland,2,60,1
Gang Lee,S475490,Nutrition&Dietetics,help_quantum@outlook.com,Finland,2,24,1
Yusuf Hussein,S73019,EthicalAI&Policy,jameson.tech@outlook.com,DominicanRepublic,1,87,0
Lan Ma,S916498,Geography,contact_apexion@outlook.com,Cuba,1,61,0
Nonglak Hassan,S306901,ActuarialScience,media_pyrexia@protonmail.com,Colombia,0,46,0
Lan Jain,S716395,Hospitality&TourismManagement,zephyron.help@icloud.com,Botswana,1,43,0
Laila Abebe,S522575,Anthropology,help_nebulaforge@outlook.com,Eswatini,2,51,0
Chidi Watanabe,S412052,SupplyChainManagement,sales_eclipse@yahoo.com,Denmark,1,42,0
Hassan Lee,S335838,Epidemiology,moonlightstudio@protonmail.com,Comoros,1,29,1
Rohan Sasaki,S295542,Film&MediaStudies,feedback_aurora@me.com,Chad,0,71,1
Sam Tran,S634761,Law(Pre-Law),moonlightstudio@protonmail.com,Croatia,0,64,1
James Sethi,S33356,History,media_crimson@protonmail.com,Canada,1,53,0
Dakota Dubois,S622734,UX/UIDesign,service_nexa@msn.com,Czechia,0,91,0
Eszter Zhu,S607745,SpecialEducation,support_nexorium@aol.com,Djibouti,2,66,1
Fatima Ibrahim,S225634,Pharmacy,contact_quantum@yandex.com,Congo(Republic),0,19,1
Aino García,S175388,Philosophy,admin_vexelon@hotmail.com,Finland,2,53,1
Aditya Srishti,S816179,Marketing,sales_nimbus@yahoo.com,Denmark,1,37,0
Soraya Andersen,S435821,Education(Primary/Secondary),service_stellar@msn.com,China,2,66,1
Nabil Müller,S182009,BusinessAdministration,zephyron.help@icloud.com,Finland,2,33,0
Eleni Petrov,S632097,Marketing,hello_vireoworks@live.com,Estonia,1,37,0
Aoi Ramos,S961857,Dentistry(Pre-Dental),admin_zenith@hotmail.com,Croatia,0,21,1
Minh Ito,S449309,Biotechnology,contact_vivid@yandex.com,Botswana,1,32,0
Dakota Smirnov,S8023,CreativeWriting,support_quantumcore@icloud.com,Djibouti,2,79,0
River Becker,S874545,Nursing,help_eclipse@outlook.com,Dominica,0,18,1
Matthew Ma,S251640,Geography,help_zenith@outlook.com,Benin,0,62,0
Rachel Petrov,S290167,Dentistry(Pre-Dental),info_aurora@zoho.com,Cyprus,2,21,0
Ibrahim Mensah,S796493,IndustrialDesign,info_silverhawk@zoho.com,Guinea-Bissau,1,74,1
Anika Becker,S440918,Economics,sales_lumivault@yahoo.com,Côted'Ivoire,2,37,1
Jun Abebe,S918390,InteriorDesign,sales_eclipse@yahoo.com,Croatia,0,75,0
Matthew Clark,S146258,Marketing,info_silverhawk@zoho.com,Denmark,1,37,1
Sarah Martin,S475061,Kinesiology,admin_cobaltreach@zoho.com,Denmark,1,24,0
Maria Hassan,S672360,Film&MediaStudies,admin_stellar@hotmail.com,Brunei,0,72,0
Andriy Suzuki,S523157,BusinessAdministration,info_summitaegis@aol.com,Cameroon,0,33,0
Andrew Tran,S345137,Accounting,media_crimson@protonmail.com,Cyprus,2,36,1
Ivan Bianchi,S887387,Hospitality&TourismManagement,info_nexasphere@protonmail.com,Czechia,0,43,1
Wei Liu,S295546,Education(Primary/Secondary),support_nexa@aol.com,Eritrea,0,65,0
Hua Takahashi,S650416,Hospitality&TourismManagement,help_nebulaforge@outlook.com,BurkinaFaso,2,43,0
Khalid Jung,S643006,MusicPerformance/Theory,contact_nexa@yandex.com,Estonia,1,76,1
Jordan Nikolaidis,S856377,GenderStudies,feedback_eclipse@me.com,Belgium,1,60,1
Nabil Sasaki,S414284,Architecture,feedback_stellar@me.com,Iraq,1,69,0
Inês Jung,S122201,FineArts,admin_fluxion@hotmail.com,China,2,70,0
Xiu Jones,S394496,Law(Pre-Law),info_crimson@zoho.com,Eswatini,2,64,1
Sarah Sato,S260830,EnvironmentalScience&Sustainability,admin_pulse@hotmail.com,Georgia,0,83,1
Eszter Dimitriou,S274787,Dentistry(Pre-Dental),service_zephyr@msn.com,Eritrea,0,21,1
Ren Rodríguez,S661824,Philosophy,moonlightstudio@protonmail.com,Croatia,0,54,0
Ravi Patel,S419166,SupplyChainManagement,tech_nexa@icloud.com,Egypt,0,42,0
Takumi Kato,S600546,Sociology,tech_cerulean@icloud.com,Cambodia,2,49,1
Soraya Khan,S755306,History,contact_zenithpulse@live.com,Cyprus,2,52,0
Soraya Becker,S465425,Physiotherapy,media_orionis@protonmail.com,CostaRica,1,29,1
Gang González,S384933,Genetics,sales_quantum@yahoo.com,Congo(Republic),0,27,0
Mio Schneider,S261261,Statistics,feedback_quantum@me.com,Finland,2,14,0
Ming Smith,S464913,Biochemistry,contact_aurora@yandex.com,Czechia,0,25,0
Noura Toure,S920341,SocialWork,service_aurora@msn.com,Eswatini,2,58,1
Maximilian Goldberg,S544373,Psychology,tech_stellar@icloud.com,Guinea,0,48,1
Soraya Demir,S613192,SocialWork,help_orion@outlook.com,Chile,1,58,1
Layla DelaCruz,S911566,Animation&DigitalArts,admin_fluxion@hotmail.com,Finland,2,79,0
Gábor Russo,S191096,ActuarialScience,contact_eclipse@yandex.com,Czechia,0,45,0
Shiloh Chen,S525146,InternationalRelations,admin_vexelon@hotmail.com,Grenada,1,56,0
Ava Pham,S510815,Genetics,support_frostvale@live.com,Cyprus,2,27,0
Piotr Suzuki,S956575,VeterinaryScience,contact_zenithpulse@live.com,Finland,2,23,1
Parisa Arslan,S479966,Epidemiology,j.smith_45@yahoo.com,Burundi,0,28,1
Ahmed DeJong,S112231,Archaeology,sales_aurora@yahoo.com,Estonia,1,61,1
David Levy,S972447,ClimateScience,tech_flux@icloud.com,CostaRica,1,85,0
Louis Clark,S981636,MusicPerformance/Theory,media_flux@protonmail.com,Eswatini,2,76,0
Eilidh Chen,S815105,Education(Primary/Secondary),admin_fluxion@hotmail.com,Fiji,1,65,1
Mia Choudhury,S447441,Education(Primary/Secondary),hello_vireoworks@live.com,EquatorialGuinea,2,66,1
Sean García,S977582,History,tech_eclipse@icloud.com,Colombia,0,53,1
Louis Yang,S235548,Kinesiology,help_quantum@outlook.com,CostaRica,1,25,0
Pooja Jung,S561206,SocialWork,luna.waves23@gmx.com,Barbados,2,58,0
Sora Smith,S170072,History,admin_cobaltreach@zoho.com,Cameroon,0,52,1
Omar Wilson,S572926,Architecture,contact_apexion@outlook.com,CostaRica,1,69,0
Aarav Abbas,S905323,CognitiveScience,help_nebulaforge@outlook.com,Finland,2,92,0
Yuto Anderson,S344536,RenewableEnergyEngineering,admin_stellar@hotmail.com,Dominica,0,86,1
Amina Okafor,S509667,Finance,vividra.contact@outlook.com,Djibouti,2,34,1
Aino Singh,S789879,History,support_zenith@aol.com,Comoros,1,52,0
Raj Russo,S476601,Finance,info_crimson@zoho.com,Eswatini,2,34,1
Phoenix Levy,S905136,GraphicDesign,sales_flux@yahoo.com,Georgia,0,68,1
Hassan Khalid,S969245,GenderStudies,auroraforge.help@gmail.com,Denmark,1,60,1
River Ibrahim,S73897,FashionDesign,stellarsky2024@msn.com,Estonia,1,72,0
Sakura Kimura,S608194,HumanResourcesManagement,info_stellar@zoho.com,Guinea-Bissau,1,44,0
Inês Yamada,S684498,GenderStudies,info_zenith@zoho.com,Brazil,2,60,1
Lan Katz,S62661,Film&MediaStudies,info_summitaegis@aol.com,Canada,1,72,1
Nalani VanDijk,S905263,GraphicDesign,contact_nexa@yandex.com,CostaRica,1,67,0
Tamar Pérez,S215134,Geography,media_flux@protonmail.com,Estonia,1,62,1
Somchai Reyes,S334239,Neuroscience,admin_zenith@hotmail.com,France,0,10,1
Shiloh Saleh,S74958,FashionDesign,feedback_zenith@me.com,Gambia,2,72,0
Siobhan Hansen,S786850,InternationalRelations,info_stellar@zoho.com,China,2,56,1
Anastasia Desai,S231175,IndustrialDesign,moonlightstudio@protonmail.com,Fiji,1,74,1
Nadia Li,S242029,Accounting,hello.vortexgrid@me.com,CentralAfricanRepublic,2,36,0
Marco Abebe,S91200,Marketing,media_crimson@protonmail.com,Comoros,1,37,0
Finley Matsumoto,S717423,OccupationalTherapy,n.lee_consulting@yandex.com,Estonia,1,31,1
Nabil Yang,S105414,Geography,hello_flux@live.com,Cambodia,2,62,1
Kavita Le,S386682,Archaeology,info_summitaegis@aol.com,Croatia,0,61,1
Sanjay Chen,S971028,ClimateScience,info_stellar@zoho.com,Denmark,1,85,0
Maria Hussein,S55168,Accounting,admin_nexa@hotmail.com,China,2,35,0
Nalani Schneider,S624526,SocialWork,service_zephyr@msn.com,Congo(DemocraticRepublic),2,58,0
Gang Katz,S104746,Genetics,hello.vortexgrid@me.com,ElSalvador,1,27,0
Jasmin González,S163156,Film&MediaStudies,contact_iron@yandex.com,Georgia,0,72,1
Sophia Anderson,S868943,Physiotherapy,media_crimson@protonmail.com,CaboVerde,1,30,0
Nia Yang,S349736,ClimateScience,support_zenith@aol.com,Croatia,0,85,1
Sofia Yilmaz,S327313,UX/UIDesign,admin_nexa@hotmail.com,Greece,0,90,0
Maximilian Abbas,S623651,GraphicDesign,support_stellar@aol.com,CentralAfricanRepublic,2,67,0
Finley Smith,S179123,Archaeology,support_zenith@aol.com,Guinea-Bissau,1,60,0
Piotr Visser,S381297,Archaeology,info_nexasphere@protonmail.com,Eritrea,0,61,0
Phoenix Kumar,S939730,Kinesiology,help_nexus@outlook.com,Ecuador,2,25,1
Aoi Choudhury,S713758,Physiotherapy,zephyron.help@icloud.com,Cambodia,2,29,0
Jordan Choudhury,S788992,Architecture,info_nexasphere@protonmail.com,Grenada,1,69,1
Yusuf Nikolaidis,S900095,Nutrition&Dietetics,support_nexorium@aol.com,Brunei,0,23,0
Ling Patel,S371319,InteriorDesign,support_nexorium@aol.com,CostaRica,1,75,1
Sora Miller,S318041,Dentistry(Pre-Dental),query.nexorium@zoho.com,Georgia,0,21,1
Kaito Schmidt,S994254,VeterinaryScience,hello_quantum@live.com,Chile,1,22,0
Mia Kobayashi,S186383,ActuarialScience,helpdesk_echelon@yahoo.com,Canada,1,45,1
Ying DeJong,S758784,CybersecurityPolicy,info_stellar@zoho.com,Eritrea,0,97,0
Maximilian Al-Mohammed,S453771,Film&MediaStudies,media_eclipse@protonmail.com,Canada,1,71,0
Jan Davis,S561833,Kinesiology,t.zhang_services@me.com,Canada,1,25,1
Sam Ortiz,S201972,EthicalAI&Policy,admin_fluxion@hotmail.com,Cuba,1,87,1
Phoenix Jung,S682541,Kinesiology,webquery_obsidian@hotmail.com,Chile,1,24,1
Asha Ibrahim,S409268,Accounting,media_astralink@icloud.com,Dominica,0,36,1
John Ivanov,S337300,ForensicScience,media_flux@protonmail.com,Egypt,0,93,1
Kaito Liu,S442374,Pharmacy,admin_vortex@hotmail.com,Chile,1,19,0
Jan Sethi,S31941,History,feedback_zenith@me.com,Brunei,0,52,1
Myra Andersen,S425466,Biotechnology,media_orionis@protonmail.com,Denmark,1,33,1
Ryota Georgiou,S821524,PoliticalScience,sunrise_engineering@yandex.com,BurkinaFaso,2,50,0
Ivan Park,S924303,CognitiveScience,feedback_ironwave@msn.com,Georgia,0,91,0
Alistair Desai,S605568,Geography,help_terra@icloud.com,Egypt,0,62,0
Zion Kumar,S197792,Kinesiology,info_nexasphere@protonmail.com,Denmark,1,24,0
Mary Müller,S515270,Physiotherapy,support_quantumcore@icloud.com,Congo(DemocraticRepublic),2,29,1
Ji-woo Schmidt,S949450,Nutrition&Dietetics,tech_stellar@icloud.com,CentralAfricanRepublic,2,23,0
Samir Nielsen,S930031,ClimateScience,hello_flux@live.com,Cuba,1,85,1
Kavita Ramos,S767809,Architecture,techquery2023@gmail.com,Ecuador,2,69,0
Tariq Levy,S403651,ActuarialScience,admin_cobaltreach@zoho.com,Colombia,0,45,1
Neha Schmidt,S706912,IndustrialDesign,support_quantum@aol.com,EquatorialGuinea,2,74,0
Zara Sasaki,S784339,OccupationalTherapy,hello_flux@live.com,Comoros,1,31,0
Jan Rossi,S771163,FineArts,admin_zenith@hotmail.com,CentralAfricanRepublic,2,70,1
